X;Y;Z;
549000;6190600;3.596600e+01;
549100;6190600;35;
549200;6190600;3.495040e+01;
549300;6190600;3.491222e+01;
549400;6190600;3.246800e+01;
549500;6190600;2.981478e+01;
549600;6190600;2.790000e+01;
549700;6190600;30;
549800;6190600;2.980000e+01;
549900;6190600;2.728400e+01;
550000;6190600;2.633400e+01;
550100;6190600;2.690000e+01;
550200;6190600;2.249770e+01;
550300;6190600;2.190822e+01;
550400;6190600;20;
550500;6190600;1.863400e+01;
550600;6190600;1.711600e+01;
550700;6190600;1.504234e+01;
550800;6190600;1.480397e+01;
550900;6190600;1.254234e+01;
551000;6190600;1.187635e+01;
551100;6190600;1.063189e+01;
551200;6190600;1.004000e+01;
551300;6190600;9.971200e+00;
551400;6190600;9.716270e+00;
551500;6190600;9.661440e+00;
551600;6190600;9.484350e+00;
551700;6190600;9.823120e+00;
551800;6190600;10;
551900;6190600;9.942340e+00;
552000;6190600;9.432000e+00;
552100;6190600;7.166400e+00;
552200;6190600;4.898780e+00;
552300;6190600;3.234160e+00;
552400;6190600;2.952700e+00;
552500;6190600;2.751980e+00;
552600;6190600;2.500000e+00;
552700;6190600;2.500000e+00;
552800;6190600;2.500000e+00;
552900;6190600;2.500000e+00;
553000;6190600;2.500000e+00;
553100;6190600;2.500000e+00;
553200;6190600;2.500000e+00;
553300;6190600;2.500000e+00;
553400;6190600;2.500000e+00;
553500;6190600;2.175420e+00;
553600;6190600;2.344480e+00;
553700;6190600;3.433900e-01;
553800;6190600;8.060000e-03;
553900;6190600;0;
554000;6190600;0;
554100;6190600;0;
554200;6190600;0;
554300;6190600;1.028800e-01;
554400;6190600;4.057600e-01;
554500;6190600;4.345600e-01;
554600;6190600;2.908600e-01;
554700;6190600;8.691000e-02;
554800;6190600;0;
554900;6190600;0;
555000;6190600;0;
555100;6190600;0;
555200;6190600;0;
555300;6190600;0;
555400;6190600;0;
555500;6190600;0;
555600;6190600;0;
555700;6190600;0;
555800;6190600;0;
555900;6190600;0;
556000;6190600;0;
556100;6190600;0;
556200;6190600;0;
556300;6190600;0;
556400;6190600;0;
556500;6190600;0;
556600;6190600;0;
556700;6190600;0;
556800;6190600;0;
556900;6190600;0;
557000;6190600;0;
557100;6190600;0;
557200;6190600;0;
557300;6190600;0;
